City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,guerrero negro,27.9769,-114.0611,18.85,47,0,5.28,MX,1675556985
1,kapaa,22.0752,-159.319,24.18,80,75,4.63,US,1675556985
2,esperance,-33.8667,121.9,21.89,53,0,6.08,AU,1675556986
3,avarua,-21.2078,-159.775,29.03,79,75,6.69,CK,1675556793
4,novo aripuana,-5.1206,-60.3797,23.88,94,100,0.46,BR,1675556876
5,ushuaia,-54.8,-68.3,12.81,62,75,5.66,AR,1675556986
6,saint anthony,45.0205,-93.218,-1.86,73,0,3.09,US,1675556945
7,akdepe,42.0551,59.3788,1.05,83,24,4.07,TM,1675556987
8,yulara,-25.2406,130.9889,24.22,23,0,7.46,AU,1675556802
9,kashima,33.1061,130.0906,6.56,55,17,1.32,JP,1675556797
10,isangel,-19.55,169.2667,29.34,78,95,6.88,VU,1675556988
11,kaitangata,-46.2817,169.8464,23.13,65,100,3.07,NZ,1675556988
12,albany,42.6001,-73.9662,-10.53,50,61,2.12,US,1675556988
13,thompson,55.7435,-97.8558,-19.91,77,75,1.03,CA,1675556690
14,porto santo,33.072,-16.3415,16.21,67,40,7.72,PT,1675556989
15,san luis,-33.295,-66.3356,22.15,39,0,6.82,AR,1675556989
16,luderitz,-26.6481,15.1594,17.96,83,52,6.99,NA,1675556989
17,punta arenas,-53.15,-70.9167,13.06,88,0,10.8,CL,1675556990
18,kota bahru,6.1333,102.2386,24.97,88,20,2.57,MY,1675556990
19,busselton,-33.65,115.3333,24.48,38,77,2.77,AU,1675556991
20,kavieng,-2.5744,150.7967,28.4,71,90,1.81,PG,1675556991
21,alofi,-19.0595,-169.9187,22.94,94,100,8.23,NU,1675556991
22,broome,42.2506,-75.833,-6.88,57,0,5.36,US,1675556992
23,bluff,-46.6,168.3333,15.64,95,100,5.39,NZ,1675556992
24,tabou,4.423,-7.3528,25.82,86,3,3.0,CI,1675556992
25,hermanus,-34.4187,19.2345,21.56,92,24,2.45,ZA,1675556800
26,port elizabeth,-33.918,25.5701,27.16,50,0,6.17,ZA,1675556993
27,abu dhabi,24.4667,54.3667,18.31,81,0,0.51,AE,1675556993
28,zalantun,48.0,122.7167,-19.11,91,5,2.71,CN,1675556993
29,sorland,67.667,12.6934,3.92,95,100,18.13,NO,1675556994
30,atuona,-9.8,-139.0333,25.88,75,28,7.75,PF,1675556994
31,fairbanks,64.8378,-147.7164,-13.02,82,40,2.57,US,1675556995
32,douentza,14.9951,-2.9517,20.68,15,19,3.2,ML,1675556995
33,butaritari,3.0707,172.7902,27.41,81,63,8.32,KI,1675556995
34,cabo san lucas,22.8909,-109.9124,27.61,55,0,3.09,MX,1675556996
35,filingue,14.3521,3.3168,25.18,16,3,1.91,NE,1675556997
36,effingham,32.3669,-81.3332,8.97,82,18,2.09,US,1675556997
37,cape town,-33.9258,18.4232,21.6,90,75,5.66,ZA,1675556997
38,la palma,33.8464,-118.0467,24.3,52,0,3.6,US,1675556998
39,tahta,26.7693,31.5021,11.83,53,36,2.52,EG,1675556998
40,inirida,3.8653,-67.9239,26.0,69,84,0.45,CO,1675556998
41,yellowknife,62.456,-114.3525,-25.71,70,75,2.06,CA,1675556793
42,guangyuan,32.442,105.823,9.07,72,99,0.73,CN,1675556999
43,qaanaaq,77.484,-69.3632,-20.37,59,60,1.23,GL,1675556765
44,rikitea,-23.1203,-134.9692,26.08,75,10,5.49,PF,1675556999
45,ostrovnoy,68.0531,39.5131,-10.25,84,100,5.66,RU,1675557000
46,jamestown,42.097,-79.2353,-3.23,36,0,6.17,US,1675556860
47,tuktoyaktuk,69.4541,-133.0374,-42.0,66,20,1.03,CA,1675557000
48,te anau,-45.4167,167.7167,16.19,94,100,1.73,NZ,1675557001
49,bethel,41.3712,-73.414,-6.31,45,20,2.06,US,1675556921
50,borogontsy,62.6683,131.1683,-32.81,98,99,0.24,RU,1675557001
51,eureka,40.8021,-124.1637,16.34,67,95,1.34,US,1675556739
52,arkhipo-osipovka,44.37,38.52,3.23,82,100,2.95,RU,1675557010
53,idrinskoye,54.3708,92.1358,-20.48,100,100,0.76,RU,1675557015
54,longyearbyen,78.2186,15.6401,-8.09,57,0,11.83,SJ,1675556784
55,kidal,18.4411,1.4078,19.27,11,79,4.87,ML,1675557035
56,darfield,53.5339,-1.376,5.8,73,0,3.11,GB,1675557038
57,vaini,-21.2,-175.2,30.09,74,75,8.23,TO,1675557039
58,pochutla,15.7432,-96.4661,29.9,72,7,2.22,MX,1675557039
59,mossendjo,-2.9506,12.7261,20.57,99,100,1.19,CG,1675557040
60,lompoc,34.6391,-120.4579,19.83,77,75,2.57,US,1675557040
61,puerto ayora,-0.7393,-90.3518,26.42,93,63,2.68,EC,1675557040
62,tuatapere,-46.1333,167.6833,17.07,98,100,0.8,NZ,1675557041
63,honiara,-9.4333,159.95,28.57,81,99,1.65,SB,1675557041
64,harper,4.375,-7.7169,26.2,85,9,3.33,LR,1675556831
65,chapais,49.7834,-74.8492,-21.12,94,100,5.4,CA,1675557042
66,nikolskoye,59.7035,30.7861,-4.06,96,96,2.05,RU,1675557042
67,kuznetsk,53.1167,46.6004,-12.74,98,100,1.75,RU,1675557042
68,new norfolk,-42.7826,147.0587,23.73,42,0,0.89,AU,1675557043
69,provideniya,64.3833,-173.3,-18.15,90,99,4.67,RU,1675557043
70,pisco,-13.7,-76.2167,22.03,94,87,2.57,PE,1675557044
71,moron,-34.6534,-58.6198,23.94,64,0,3.49,AR,1675557044
72,mataura,-46.1927,168.8643,18.08,93,100,1.9,NZ,1675557045
73,qasigiannguit,68.8193,-51.1922,-18.86,95,18,2.37,GL,1675557045
74,hithadhoo,-0.6,73.0833,27.19,72,25,6.8,MV,1675557045
75,bengkulu,-3.8004,102.2655,24.54,86,100,1.74,ID,1675557046
76,palmer,42.1584,-72.3287,-9.17,31,100,3.09,US,1675557046
77,adrar,20.5022,-10.0711,14.09,21,100,5.11,MR,1675557046
78,ribeira grande,38.5167,-28.7,16.54,89,21,5.36,PT,1675557047
79,trelew,-43.249,-65.3051,29.89,21,26,10.15,AR,1675557048
80,nanakuli,21.3906,-158.1547,24.99,71,20,4.63,US,1675557049
81,ozubulu,5.9567,6.849,24.66,81,100,2.11,NG,1675557049
82,kodinsk,58.6881,99.1844,-16.24,99,99,1.11,RU,1675557050
83,lata,40.1629,-8.3327,5.81,63,0,2.1,PT,1675557050
84,dillon,34.4166,-79.3712,4.58,54,100,2.64,US,1675557050
85,vao,-22.6667,167.4833,26.45,87,100,9.15,NC,1675556873
86,wawina,15.4167,-84.4333,21.28,94,2,1.41,HN,1675557051
87,kjollefjord,70.9457,27.3465,-1.97,74,20,4.12,NO,1675557052
